dimcol	cptimes	cprandtimes
20	0.0127391	0.0039837
40	0.0049303	0.0024559
60	0.0046914	0.0018889
80	0.0050837	0.0019338
100	0.005375	0.002344
120	0.0057081	0.0019123
140	0.0062517	0.0019998
160	0.0078789	0.0019144
180	0.0147242	0.0019173
200	0.0196875	0.0019411
220	0.0239038	0.0019463
240	0.027811	0.0017323
260	0.0339958	0.0019511
280	0.0402429	0.0021031
300	0.0525562	0.0019903
320	0.0591151	0.0019857
340	0.0645384	0.0020733
360	0.079479	0.0018801
380	0.0892626	0.001866
400	0.1013754	0.0018472
420	0.1165516	0.0019108
440	0.1220817	0.0018719
460	0.1481936	0.0018159
480	0.1638841	0.002458
500	0.2002449	0.0017325
520	0.2207945	0.0017828
540	0.2152871	0.0018948
560	0.264796	0.0018861
580	0.272067	0.0018145
600	0.3087977	0.0026522
620	0.3858854	0.0025526
640	0.4146239	0.0017255
660	0.4295256	0.002145
680	0.432841	0.0018652
700	0.4541441	0.0017691
720	0.5455533	0.0018362
740	0.5876513	0.0018222
