dimcol	mixtimes
20	0.0324313333333333
30	0.002075
40	0.00343166666666667
50	0.00390633333333333
60	0.00710666666666667
70	0.0120563333333333
80	0.015153
90	0.0211246666666667
100	0.0283223333333333
110	0.0385183333333333
120	0.047777
130	0.0606223333333333
140	0.092147
150	0.109175333333333
160	0.129272
170	0.136394666666667
180	0.158889
190	0.190162666666667
200	0.213872
210	0.245142666666667
220	0.281959
230	0.329688666666667
240	0.365750333333333
250	0.407561666666667
260	0.457987666666667
270	0.513426
280	0.568297333333333
290	0.657801333333333
300	0.709583666666667
310	0.801606333333333
320	0.876340666666667
330	0.932809
340	1.03734333333333
350	1.117653
360	1.22916
370	1.65929466666667
380	1.458201
390	1.54300833333333
400	1.669531
410	2.17591166666667
420	2.39410033333333
430	2.20931833333333
440	2.274837
450	2.35575466666667
460	2.55437533333333
470	2.988912
480	2.91959466666667
490	3.05174066666667
500	3.247595
510	3.530956
520	3.64701266666667
530	4.80142166666667
540	4.11662366666667
550	4.32804533333333
560	4.59030333333333
570	4.82977433333333
580	5.19991266666667
590	5.86354533333333
600	5.607725
610	7.07275633333333
620	6.33728766666667
630	6.50000533333333
640	8.05623133333333
650	7.09797866666667
660	7.463302
670	8.86006966666667
680	8.19526633333333
690	8.61979066666667
700	11.0042706666667
710	11.122162
720	9.83077333333333
730	12.0592793333333
740	12.9601493333333
750	10.8448016666667
