Gram(0),Gram local multiply(0),Gram shift(0),Gram all-reduce(0),Gram all-gather(0),Gram packing(0),Gram all-to-all(0),Gram unpacking(0),Eigensolve(0),TTM(0),TTM local multiply(0),TTM packing(0),TTM reduce-scatter(0),TTM reduce(0),Gram(1),Gram local multiply(1),Gram shift(1),Gram all-reduce(1),Gram all-gather(1),Gram packing(1),Gram all-to-all(1),Gram unpacking(1),Eigensolve(1),TTM(1),TTM local multiply(1),TTM packing(1),TTM reduce-scatter(1),TTM reduce(1),Gram(2),Gram local multiply(2),Gram shift(2),Gram all-reduce(2),Gram all-gather(2),Gram packing(2),Gram all-to-all(2),Gram unpacking(2),Eigensolve(2),TTM(2),TTM local multiply(2),TTM packing(2),TTM reduce-scatter(2),TTM reduce(2),Gram(3),Gram local multiply(3),Gram shift(3),Gram all-reduce(3),Gram all-gather(3),Gram packing(3),Gram all-to-all(3),Gram unpacking(3),Eigensolve(3),TTM(3),TTM local multiply(3),TTM packing(3),TTM reduce-scatter(3),TTM reduce(3),Gram(4),Gram local multiply(4),Gram shift(4),Gram all-reduce(4),Gram all-gather(4),Gram packing(4),Gram all-to-all(4),Gram unpacking(4),Eigensolve(4),TTM(4),TTM local multiply(4),TTM packing(4),TTM reduce-scatter(4),TTM reduce(4),Total
12.2218,10.3585,0,1.8609,0,0,0,0,3.32494,1.21889,1.05254,0,0,0,1.88977,0.776824,0,0.533862,0,0.0311111,0.502353,0.0300684,9.04735,1.2073,0.0599596,0.0403105,0.308458,0,0.379101,0.0296395,0,0.326388,0,0.00124728,0.0165872,0.00172575,2.79495,0.35824,0.00529287,0,0,0.0269733,0.00718772,6.5426e-05,0,0.00705112,0,0,0,0,8.4195e-05,0.0723764,6.2537e-05,0,0,0,0.000690138,3.0593e-05,0,3.9955e-05,0,0,0.000555251,0,3.6132e-05,0.0917874,0.000117791,0,0,0.00095788,32.6257
12.222,10.3806,0,1.83881,0,0,0,0,3.33199,1.20663,1.04734,0,0,0,1.8947,0.777776,0,0.580646,0,0.0300355,0.463302,0.0278983,9.0244,1.21331,0.059585,0.0402659,0.2897,0,0.394,0.0280175,0,0.32814,0,0.00128233,0.0315822,0.00164628,2.80007,0.354876,0.00552377,0,0,0.0293083,0.00467867,6.0079e-05,0,0.00461558,0,0,0,0,9.9549e-05,0.0724958,8.7345e-05,0,0,0,0.000660629,3.3245e-05,0,5.2511e-05,0,0,0.000563715,0,5.3088e-05,0.0918292,0.00012434,0,0,0.000918574,32.6256
12.2219,10.3466,0,1.87287,0,0,0,0,3.33111,1.24157,1.08141,0,0,0,1.86071,0.776048,0,0.548328,0,0.0293191,0.461088,0.0299235,9.04988,1.18379,0.0596451,0.0403988,0.285859,0,0.397636,0.028098,0,0.327634,0,0.00134968,0.0356287,0.00163793,2.80716,0.346587,0.00518017,0,0,0.0274714,0.00693596,5.614e-05,0,0.006877,0,0,0,0,8.9566e-05,0.0724959,8.7749e-05,0,0,0,0.000657859,3.3581e-05,0,5.4604e-05,0,0,0.000558478,0,5.1037e-05,0.0917103,0.00012665,0,0,0.000796001,32.6255
12.2227,10.3877,0,1.83113,0,0,0,0,3.31332,1.25324,1.07658,0,0,0,1.86563,0.777926,0,0.589392,0,0.0294104,0.425066,0.0276224,9.0293,1.20983,0.0595128,0.0403441,0.291207,0,0.392896,0.0281713,0,0.328363,0,0.00125656,0.030117,0.00165541,2.80704,0.349057,0.0062557,0,0,0.0288158,0.00441908,5.271e-05,0,0.00436401,0,0,0,0,0.000588855,0.0719677,5.8401e-05,0,0,0,0.000236029,3.128e-05,0,5.3399e-05,0,0,0.000139593,0,0.000499402,0.0913459,0.000132631,0,0,0.000872984,32.6256
12.222,10.3508,0,1.86863,0,0,0,0,3.33214,1.24127,1.08213,0,0,0,1.86,0.776627,0,0.547757,0,0.0295931,0.46002,0.0299573,9.05279,1.18981,0.0679229,0.0372563,0.288938,0,0.391345,0.028192,0,0.328872,0,0.0012855,0.0280713,0.00157653,2.80834,0.349332,0.00544808,0,0,0.0307071,0.0033252,5.595e-05,0,0.00326702,0,0,0,0,0.000141651,0.0724615,8.665e-05,0,0,0,0.000661406,3.358e-05,0,4.2245e-05,0,0,0.000574323,0,5.1854e-05,0.0918204,0.000130759,0,0,0.000900717,32.6256
12.222,10.3699,0,1.84947,0,0,0,0,3.31479,1.23285,1.05634,0,0,0,1.88588,0.777014,0,0.59028,0,0.030348,0.444287,0.0277589,9.03706,1.20145,0.0598147,0.0403657,0.290904,0,0.392706,0.0281096,0,0.327714,0,0.00128779,0.0305763,0.00169821,2.80347,0.353075,0.00549285,0,0,0.0308066,0.00320605,5.2211e-05,0,0.00315148,0,0,0,0,0.000108517,0.0724944,8.6022e-05,0,0,0,0.000663255,3.3726e-05,0,4.2405e-05,0,0,0.000575819,0,5.2175e-05,0.0919069,0.000130964,0,0,0.000992201,32.6257
12.2219,10.3467,0,1.87269,0,0,0,0,3.32627,1.23701,1.07203,0,0,0,1.87019,0.778094,0,0.588937,0,0.029042,0.431167,0.02692,9.0388,1.19608,0.0591804,0.0388816,0.28952,0,0.395804,0.0279963,0,0.330399,0,0.00128563,0.0313517,0.00143886,2.80701,0.352053,0.00548181,0,0,0.032612,0.00147739,5.4762e-05,0,0.00142062,0,0,0,0,9.9492e-05,0.0724908,7.4966e-05,0,0,0,0.000674102,3.4166e-05,0,4.2511e-05,0,0,0.000584921,0,5.2239e-05,0.0918931,0.000135151,0,0,0.0118914,32.6257
12.2214,10.3778,0,1.84107,0,0,0,0,3.32811,1.20837,1.04514,0,0,0,1.89703,0.775748,0,0.549793,0,0.0294111,0.496444,0.0292483,9.04806,1.18914,0.0592401,0.0389835,0.291244,0,0.394033,0.0280359,0,0.328382,0,0.00127725,0.0313495,0.00161552,2.80445,0.352859,0.00555742,0,0,0.0313803,0.00259985,6.1453e-05,0,0.00253608,0,0,0,0,0.000107596,0.0724922,8.3792e-05,0,0,0,0.000663862,3.1959e-05,0,4.1325e-05,0,0,0.000579777,0,5.2326e-05,0.0918889,0.000128456,0,0,0.0118984,32.6252
12.2222,10.2341,0,1.98532,0,0,0,0,3.33607,1.23001,1.07508,0,0,0,1.86741,0.775591,0,0.546906,0,0.0284718,0.470613,0.0300681,9.06003,1.18727,0.059486,0.0435211,0.295266,0,0.383245,0.0280293,0,0.327718,0,0.00132295,0.0208184,0.00163656,2.79403,0.363521,0.00541515,0,0,0.0319537,0.00219212,5.5279e-05,0,0.00213436,0,0,0,0,0.000102563,0.0724483,6.1965e-05,0,0,0,0.000689744,3.051e-05,0,4.5178e-05,0,0,0.00060318,0,4.9383e-05,0.0918215,9.5255e-05,0,0,0.0118806,32.6256
12.2222,10.2382,0,1.98116,0,0,0,0,3.34115,1.21544,1.06557,0,0,0,1.877,0.775756,0,0.544049,0,0.0289065,0.482332,0.0295668,9.06307,1.18278,0.0596219,0.0435685,0.293859,0,0.386182,0.0281163,0,0.328848,0,0.00133825,0.0225783,0.00157522,2.80156,0.355364,0.00549957,0,0,0.0304862,0.00352399,5.5435e-05,0,0.003466,0,0,0,0,0.0001024,0.0724692,7.7219e-05,0,0,0,0.000670249,2.9027e-05,0,4.3074e-05,0,0,0.000589622,0,4.9605e-05,0.0918646,0.000125518,0,0,0.0118823,32.6257
12.2221,10.2728,0,1.94654,0,0,0,0,3.32531,1.20321,1.0374,0,0,0,1.90517,0.776373,0,0.589048,0,0.029455,0.467609,0.0265936,9.04423,1.20079,0.0593213,0.0426943,0.295889,0,0.38337,0.0281053,0,0.327992,0,0.00129891,0.0206657,0.00163778,2.78335,0.370968,0.00519805,0,0,0.0278534,0.0064764,6.1578e-05,0,0.00641132,0,0,0,0,0.000116768,0.0724255,5.7656e-05,0,0,0,0.00069566,2.5547e-05,0,0.000495211,0,0,0.000163216,0,5.0731e-05,0.0921643,0.000127534,0,0,0.00125004,32.6259
12.2216,10.235,0,1.98392,0,0,0,0,3.3416,1.21708,1.06763,0,0,0,1.87489,0.777227,0,0.580901,0,0.0288685,0.444434,0.0276963,9.03372,1.21296,0.0597272,0.0435179,0.294518,0,0.383624,0.0280908,0,0.327936,0,0.00129707,0.0209519,0.00164989,2.79986,0.356052,0.00543204,0,0,0.0297604,0.00434305,5.666e-05,0,0.00428389,0,0,0,0,0.000113389,0.0724315,5.7599e-05,0,0,0,0.000698127,2.8382e-05,0,0.000495749,0,0,0.000162809,0,4.9842e-05,0.0915953,0.000122664,0,0,0.000684666,32.6248
12.2222,10.2698,0,1.94961,0,0,0,0,3.32974,1.19964,1.03828,0,0,0,1.90429,0.777377,0,0.58829,0,0.0296547,0.46613,0.0267699,9.04903,1.18898,0.0594486,0.0430891,0.288458,0,0.390964,0.0280525,0,0.327536,0,0.00133188,0.0287169,0.00163213,2.80361,0.351594,0.00531224,0,0,0.0285383,0.00576494,5.6742e-05,0,0.00570564,0,0,0,0,0.000107879,0.0724427,5.9698e-05,0,0,0,0.000691711,2.8351e-05,0,0.000494251,0,0,0.00016063,0,5.1436e-05,0.0918323,0.000134546,0,0,0.000907897,32.6256
