D	sthosvd	hosvdsketch	mlsvdrsi	mlsvdrsi2
30	0.901167412876344	0.897364076277831	0.90116568958773	0.901167390472209
35	0.900870924409412	0.895369244646784	0.900869763314364	0.900870914595707
40	0.900709980440634	0.896721123897172	0.900709323815064	0.900709974902961
45	0.900632549627341	0.897913317243074	0.900632052016713	0.900632547211476
50	0.900585429358561	0.897538746876186	0.900584960809524	0.900585427516356
55	0.900560505516398	0.896251657432961	0.900559989416474	0.900560504739545
60	0.90054154293662	0.894538452145624	0.900541154559214	0.900541542440768
65	0.900530740815614	0.895523652668841	0.900530265980177	0.900530740467711
70	0.900521410868807	0.895979354267	0.900521210244186	0.90052141068208
75	0.900510543991668	0.896038911811821	0.900510241692058	0.900510543824224
80	0.900512247015921	0.896305852682907	0.90051211903954	0.90051224690696
85	0.90050912115971	0.896211426708602	0.900508984408192	0.900509121078714
90	0.900508441307126	0.897722540410213	0.900508302990963	0.900508441242058
95	0.900504070187639	0.896231973949113	0.900503918346219	0.900504070143054
100	0.900504019376709	0.898238072721391	0.900503783117659	0.90050401934798
105	0.900503214323781	0.896387432086642	0.900503128226591	0.900503214300594
110	0.900501585446329	0.896316354426269	0.900501512470013	0.900501585423846
115	0.900500801687064	0.896355530659208	0.900500426916287	0.900500801672405
120	0.900499739239858	0.897382705555051	0.900499655921269	0.900499739226611
125	0.900499642509171	0.8959781403864	0.900499527654396	0.900499642498602
130	0.900499226118703	0.895175962650521	0.900499100609688	0.900499226110337
