D	sthosvd	hosvdsketch	mlsvdrsi	mlsvdrsi2
30	0.045816237	0.096526266	0.18258875	0.122871331
35	0.077461892	0.067994294	0.121065953	0.156943508
40	0.130013004	0.128012379	0.28054407	0.248888357
45	0.21314224	0.174213364	0.352111037	0.359330435
50	0.191557618	0.17129108	0.415888749	0.458256257
55	0.243877559	0.225062448	0.498796541	0.62691799
60	0.297270965	0.260119342	0.623743903	0.750730884
65	0.585768401	0.331871489	0.902981271	1.083810472
70	0.86626679	0.383106038	1.035993815	1.24331616
75	0.964063446	0.450897507	1.139688115	1.526876569
80	1.232011657	0.547636284	1.345123391	1.859580376
85	1.621342832	0.830106323	1.790004406	2.327348041
90	2.091604301	0.795360736	2.003893922	2.746210788
95	2.444312251	0.972527149	2.321125067	3.12857829
100	3.18904225	1.451707894	2.832936243	3.538775265
105	3.505934854	1.172756231	3.168388328	4.426542789
110	4.44203309	1.49909234	4.18169811	5.402871153
115	6.073834256	1.692618636	4.64181408	6.0668316
120	5.975415118	2.039371815	4.778811535	6.791592938
125	11.379439957	2.371875486	5.57590049	7.69735666
130	19.453522966	3.133536535	5.926751785	8.84543489
