D	sthosvd	hosvdsketch	mlsvdrsi	mlsvdrsi2
30	0.061281621	0.064572751	0.114494845	0.152105714
35	0.061046032	0.071697752	0.158665044	0.187192339
40	0.080711702	0.096100942	0.251559665	0.306376785
45	0.110062306	0.11975006	0.361155527	0.423986703
50	0.153736143	0.155268805	0.483828151	0.554366451
55	0.21261343	0.23290479	0.637700267	0.747194708
60	0.287251032	0.254246647	0.857347853	0.962894157
65	0.580353845	0.329297616	1.036840426	1.318359411
70	0.706670008	0.360987522	1.316787497	1.522497513
75	0.935789797	0.470022382	1.584872371	1.928354916
80	1.185654688	0.548860128	1.934330061	2.406451042
85	1.526197966	0.669830004	2.326756203	2.846369124
90	1.835858447	0.776780244	2.650303816	3.352293521
95	2.517465277	0.89241553	3.242462501	3.922206202
100	2.826474161	1.055232823	3.681943195	4.545708791
105	3.569711307	1.182373521	4.619549307	5.760402778
110	4.285891977	1.393501918	5.169659334	6.707164529
115	5.026961534	1.670705432	6.000993465	7.656505278
120	6.5174494	2.322665505	6.954801502	8.842177314
125	11.424820014	2.299490766	7.652367046	9.784653538
130	18.149917009	2.830165686	8.566662574	11.196413252
