Cores	ST-HOSVD-s	HOSVD-G	HOSVD-pg	HOSVD-mo	ST-HOSVD-Sketch-s	HOOI-G	HOOI-pg		HOOI-mo
24	10	310.78	1_1_4_6		0123		8	207.49	1_1_4_6		0123
48	9	591.25	1_1_6_8		0123		7.5	377.07	1_1_6_8		0123
96	8	1036.53	1_1_8_12	0123		6	626.73	1_1_8_12	0123
192	7	1765.99	1_1_8_24	0123		5.5	1054.05	1_1_8_24	0123
384	6	2451.16	1_1_16_24	0123		4	1277.24	1_1_16_24	0123
768	5	3997.91	1_1_16_48	0123		3.5	1998.92	1_1_16_48	0123
1536	4	4722.24	1_1_32_48	0123		3	2173.01	1_1_32_48	0123
3072	3	5370.00	1_1_32_96	0123		2.5	2574.61	1_1_32_96	0123
6144	2	6937.20	1_8_24_32	0123		2	3063.84	1_8_24_32	0123
12288	1	6032.16	1_8_32_48	0123		1.5	3774.60	6_8_16_16	0123
